"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","To validate the registration functionallity of the facebook application","2","0","","0"
"0","","0","To validate the login functionallity of the facebook application","2","0","","0"
